,年度,会計名称,款,款名称,項,項名称,目,目名称,細目,細目名称,,節,節名称,予算額,COFOG_Level1,COFOG_Level2
371,R3,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,158,戸籍住民基本台帳事務経費,,1,報酬,55525,1,1.1
372,R3,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,158,戸籍住民基本台帳事務経費,,8,旅費,2452,1,1.1
373,R3,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,158,戸籍住民基本台帳事務経費,,10,需用費,5518,1,1.1
374,R3,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,158,戸籍住民基本台帳事務経費,,11,役務費,5812,1,1.1
375,R3,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,158,戸籍住民基本台帳事務経費,,12,委託料,31385,1,1.1
376,R3,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,158,戸籍住民基本台帳事務経費,,13,使用料及び賃借料,21420,1,1.1
377,R3,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,158,戸籍住民基本台帳事務経費,,14,工事請負費,0,1,1.1
378,R3,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,158,戸籍住民基本台帳事務経費,,17,備品購入費,0,1,1.1
379,R3,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,158,戸籍住民基本台帳事務経費,,18,負担金・補助及び交付金,39483,1,1.1
380,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,6,職員人件費等,,2,給料,15483,1,1.6
381,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,6,職員人件費等,,3,職員手当等,13138,1,1.6
382,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,6,職員人件費等,,4,共済費,5734,1,1.6
383,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,6,職員人件費等,,8,旅費,50,1,1.6
384,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,159,選挙管理委員会運営費,,1,報酬,2955,1,1.6
385,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,159,選挙管理委員会運営費,,8,旅費,89,1,1.6
386,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,159,選挙管理委員会運営費,,9,交際費,10,1,1.6
387,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,159,選挙管理委員会運営費,,10,需用費,113,1,1.6
388,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,159,選挙管理委員会運営費,,11,役務費,1008,1,1.6
389,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,159,選挙管理委員会運営費,,12,委託料,570,1,1.6
390,R3,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費,159,選挙管理委員会運営費,,18,負担金・補助及び交付金,129,1,1.6
391,R3,一般会計,2,総務費,4,選挙費,2,選挙常時啓発費,160,選挙常時啓発事業,,7,報償費,1036,1,1.6
392,R3,一般会計,2,総務費,4,選挙費,2,選挙常時啓発費,160,選挙常時啓発事業,,10,需用費,401,1,1.6
393,R3,一般会計,2,総務費,4,選挙費,2,選挙常時啓発費,160,選挙常時啓発事業,,13,使用料及び賃借料,180,1,1.6
394,R3,一般会計,2,総務費,4,選挙費,2,選挙常時啓発費,160,選挙常時啓発事業,,18,負担金・補助及び交付金,25,1,1.6
395,R3,一般会計,2,総務費,4,選挙費,4,市長選挙費,162,市長選挙執行経費,,1,報酬,1288,1,1.6
396,R3,一般会計,2,総務費,4,選挙費,4,市長選挙費,162,市長選挙執行経費,,3,職員手当等,1750,1,1.6
397,R3,一般会計,2,総務費,4,選挙費,4,市長選挙費,162,市長選挙執行経費,,7,報償費,22,1,1.6
398,R3,一般会計,2,総務費,4,選挙費,4,市長選挙費,162,市長選挙執行経費,,8,旅費,33,1,1.6
399,R3,一般会計,2,総務費,4,選挙費,4,市長選挙費,162,市長選挙執行経費,,10,需用費,3660,1,1.6
400,R3,一般会計,2,総務費,4,選挙費,4,市長選挙費,162,市長選挙執行経費,,11,役務費,4197,1,1.6
401,R3,一般会計,2,総務費,4,選挙費,4,市長選挙費,162,市長選挙執行経費,,12,委託料,1276,1,1.6
402,R3,一般会計,2,総務費,4,選挙費,4,市長選挙費,162,市長選挙執行経費,,13,使用料及び賃借料,0,1,1.6
403,R3,一般会計,2,総務費,4,選挙費,5,都知事選挙費,164,東京都知事選挙執行経費,,1,報酬,0,1,1.6
404,R3,一般会計,2,総務費,4,選挙費,5,都知事選挙費,164,東京都知事選挙執行経費,,3,職員手当等,0,1,1.6
405,R3,一般会計,2,総務費,4,選挙費,5,都知事選挙費,164,東京都知事選挙執行経費,,7,報償費,0,1,1.6
406,R3,一般会計,2,総務費,4,選挙費,5,都知事選挙費,164,東京都知事選挙執行経費,,8,旅費,0,1,1.6
407,R3,一般会計,2,総務費,4,選挙費,5,都知事選挙費,164,東京都知事選挙執行経費,,10,需用費,0,1,1.6
408,R3,一般会計,2,総務費,4,選挙費,5,都知事選挙費,164,東京都知事選挙執行経費,,11,役務費,0,1,1.6
409,R3,一般会計,2,総務費,4,選挙費,5,都知事選挙費,164,東京都知事選挙執行経費,,12,委託料,0,1,1.6
410,R3,一般会計,2,総務費,4,選挙費,5,都知事選挙費,164,東京都知事選挙執行経費,,13,使用料及び賃借料,0,1,1.6
411,R3,一般会計,2,総務費,4,選挙費,5,都知事選挙費,164,東京都知事選挙執行経費,,17,備品購入費,0,1,1.6
412,R3,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費,166,東京都議会議員選挙執行経費,,1,報酬,7508,1,1.6
413,R3,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費,166,東京都議会議員選挙執行経費,,3,職員手当等,6627,1,1.6
414,R3,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費,166,東京都議会議員選挙執行経費,,7,報償費,13268,1,1.6
415,R3,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費,166,東京都議会議員選挙執行経費,,8,旅費,140,1,1.6
416,R3,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費,166,東京都議会議員選挙執行経費,,10,需用費,3147,1,1.6
417,R3,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費,166,東京都議会議員選挙執行経費,,11,役務費,4888,1,1.6
418,R3,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費,166,東京都議会議員選挙執行経費,,12,委託料,27776,1,1.6
419,R3,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費,166,東京都議会議員選挙執行経費,,13,使用料及び賃借料,2593,1,1.6
420,R3,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費,166,東京都議会議員選挙執行経費,,17,備品購入費,3045,1,1.6
421,R3,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費,167,衆議院議員選挙執行経費,,1,報酬,9155,1,1.6
422,R3,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費,167,衆議院議員選挙執行経費,,3,職員手当等,7706,1,1.6
423,R3,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費,167,衆議院議員選挙執行経費,,7,報償費,16926,1,1.6
424,R3,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費,167,衆議院議員選挙執行経費,,8,旅費,243,1,1.6
425,R3,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費,167,衆議院議員選挙執行経費,,10,需用費,3002,1,1.6
426,R3,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費,167,衆議院議員選挙執行経費,,11,役務費,4921,1,1.6
427,R3,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費,167,衆議院議員選挙執行経費,,12,委託料,38403,1,1.6
428,R3,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費,167,衆議院議員選挙執行経費,,13,使用料及び賃借料,3124,1,1.6
429,R3,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費,167,衆議院議員選挙執行経費,,17,備品購入費,1870,1,1.6
430,R3,一般会計,2,総務費,5,統計調査費,1,統計総務費,7,職員人件費等,,2,給料,5635,1,1.1
431,R3,一般会計,2,総務費,5,統計調査費,1,統計総務費,7,職員人件費等,,3,職員手当等,4689,1,1.1
432,R3,一般会計,2,総務費,5,統計調査費,1,統計総務費,7,職員人件費等,,4,共済費,2767,1,1.1
433,R3,一般会計,2,総務費,5,統計調査費,1,統計総務費,7,職員人件費等,,8,旅費,30,1,1.1
434,R3,一般会計,2,総務費,5,統計調査費,2,基幹統計費,171,統計調査事業,,1,報酬,4093,1,1.3
435,R3,一般会計,2,総務費,5,統計調査費,2,基幹統計費,171,統計調査事業,,8,旅費,21,1,1.3
436,R3,一般会計,2,総務費,5,統計調査費,2,基幹統計費,171,統計調査事業,,10,需用費,358,1,1.3
437,R3,一般会計,2,総務費,5,統計調査費,2,基幹統計費,171,統計調査事業,,11,役務費,256,1,1.3
438,R3,一般会計,2,総務費,5,統計調査費,2,基幹統計費,171,統計調査事業,,12,委託料,0,1,1.3
439,R3,一般会計,2,総務費,5,統計調査費,2,基幹統計費,171,統計調査事業,,13,使用料及び賃借料,151,1,1.3
440,R3,一般会計,2,総務費,5,統計調査費,2,基幹統計費,171,統計調査事業,,18,負担金・補助及び交付金,5,1,1.3
441,R3,一般会計,2,総務費,6,監査委員費,1,監査委員費,8,職員人件費等,,2,給料,17646,1,1.3
442,R3,一般会計,2,総務費,6,監査委員費,1,監査委員費,8,職員人件費等,,3,職員手当等,14167,1,1.3
443,R3,一般会計,2,総務費,6,監査委員費,1,監査委員費,8,職員人件費等,,4,共済費,6279,1,1.3
444,R3,一般会計,2,総務費,6,監査委員費,1,監査委員費,8,職員人件費等,,8,旅費,20,1,1.3
445,R3,一般会計,2,総務費,6,監査委員費,1,監査委員費,172,監査事務経費,,1,報酬,1984,1,1.3
446,R3,一般会計,2,総務費,6,監査委員費,1,監査委員費,172,監査事務経費,,8,旅費,80,1,1.3
447,R3,一般会計,2,総務費,6,監査委員費,1,監査委員費,172,監査事務経費,,9,交際費,10,1,1.3
448,R3,一般会計,2,総務費,6,監査委員費,1,監査委員費,172,監査事務経費,,10,需用費,170,1,1.3
449,R3,一般会計,2,総務費,6,監査委員費,1,監査委員費,172,監査事務経費,,18,負担金・補助及び交付金,100,1,1.3
450,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,9,職員人件費等,,2,給料,218122,10,10.9
451,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,9,職員人件費等,,3,職員手当等,177482,10,10.9
452,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,9,職員人件費等,,4,共済費,78585,10,10.9
453,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,9,職員人件費等,,8,旅費,385,10,10.9
454,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,173,国民健康保険特別会計繰出,,27,繰出金,1955466,10,10.9
455,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,174,地域福祉事務経費,,1,報酬,0,10,10.9
456,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,174,地域福祉事務経費,,7,報償費,0,10,10.9
457,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,174,地域福祉事務経費,,10,需用費,523,10,10.9
458,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,174,地域福祉事務経費,,11,役務費,36,10,10.9
459,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,174,地域福祉事務経費,,12,委託料,256,10,10.9
460,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,174,地域福祉事務経費,,13,使用料及び賃借料,0,10,10.9
461,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,174,地域福祉事務経費,,18,負担金・補助及び交付金,70,10,10.9
462,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,174,地域福祉事務経費,,26,公課費,7,10,10.9
463,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,175,多摩市社会福祉協議会助成事業,,18,負担金・補助及び交付金,263419,10,10.9
464,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,176,民生委員推薦会運営費,,1,報酬,129,10,10.9
465,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,177,民生委員協議会等運営費,,7,報償費,11167,10,10.9
466,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,177,民生委員協議会等運営費,,10,需用費,20,10,10.9
467,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,177,民生委員協議会等運営費,,11,役務費,4,10,10.9
468,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,177,民生委員協議会等運営費,,18,負担金・補助及び交付金,1079,10,10.9
469,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,178,福祉委員会運営費,,1,報酬,17099,10,10.9
470,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,182,災害見舞金等支給事業,,19,扶助費,1,10,10.9
471,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,183,地域福祉推進事業,,18,負担金・補助及び交付金,8405,10,10.9
472,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,284,成年後見制度利用者支援事業,,11,役務費,620,10,10.9
473,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,284,成年後見制度利用者支援事業,,12,委託料,18498,10,10.9
474,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,284,成年後見制度利用者支援事業,,18,負担金・補助及び交付金,17938,10,10.9
475,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,284,成年後見制度利用者支援事業,,19,扶助費,1610,10,10.9
476,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,873,社会福祉法人認可検査事務経費,,10,需用費,10,10,10.9
477,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,873,社会福祉法人認可検査事務経費,,12,委託料,594,10,10.9
478,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,887,自殺対策事業,,7,報償費,52,10,10.9
479,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,887,自殺対策事業,,10,需用費,528,10,10.9
480,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,887,自殺対策事業,,12,委託料,325,10,10.9
481,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,897,生活困窮者等支援事業,,1,報酬,2744,10,10.7
482,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,897,生活困窮者等支援事業,,8,旅費,3,10,10.7
483,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,897,生活困窮者等支援事業,,10,需用費,576,10,10.7
484,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,897,生活困窮者等支援事業,,11,役務費,571,10,10.7
485,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,897,生活困窮者等支援事業,,12,委託料,34774,10,10.7
486,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,897,生活困窮者等支援事業,,13,使用料及び賃借料,7679,10,10.7
487,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,897,生活困窮者等支援事業,,17,備品購入費,0,10,10.7
488,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,897,生活困窮者等支援事業,,19,扶助費,24269,10,10.7
489,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,910,健幸まちづくり推進事業,,7,報償費,178,10,10.9
490,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,910,健幸まちづくり推進事業,,8,旅費,79,10,10.9
491,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,910,健幸まちづくり推進事業,,10,需用費,168,10,10.9
492,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,910,健幸まちづくり推進事業,,11,役務費,0,10,10.9
493,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,910,健幸まちづくり推進事業,,12,委託料,582,10,10.9
494,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,910,健幸まちづくり推進事業,,13,使用料及び賃借料,0,10,10.9
495,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,910,健幸まちづくり推進事業,,18,負担金・補助及び交付金,68,10,10.9
496,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,934,多摩市地域福祉計画推進事業,,7,報償費,110,10,10.9
497,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,987,多摩市西永山福祉施設管理経費,,7,報償費,0,7,7.3
498,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,987,多摩市西永山福祉施設管理経費,,10,需用費,3079,7,7.3
499,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,987,多摩市西永山福祉施設管理経費,,11,役務費,48,7,7.3
500,R3,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費,987,多摩市西永山福祉施設管理経費,,12,委託料,2364,7,7.3
501,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,192,心身障がい者支援事業,,1,報酬,494,10,10.1
502,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,192,心身障がい者支援事業,,7,報償費,59,10,10.1
503,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,192,心身障がい者支援事業,,10,需用費,942,10,10.1
504,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,192,心身障がい者支援事業,,11,役務費,16,10,10.1
505,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,192,心身障がい者支援事業,,12,委託料,2460,10,10.1
506,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,192,心身障がい者支援事業,,18,負担金・補助及び交付金,10343,10,10.1
507,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,192,心身障がい者支援事業,,19,扶助費,53363,10,10.1
508,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,193,ハンディキャブ運行事業,,12,委託料,16957,10,10.1
509,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,194,重度脳性麻痺者介護人派遣事業,,7,報償費,1,10,10.1
510,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,195,身体障がい者電話使用料助成事業,,19,扶助費,214,10,10.1
511,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,196,心身障がい者福祉手当支給事業,,19,扶助費,360452,10,10.1
512,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,197,心身障がい者医療事務費,,10,需用費,146,10,10.1
513,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,197,心身障がい者医療事務費,,11,役務費,236,10,10.1
514,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,198,特定疾病者福祉手当支給事業,,19,扶助費,94104,10,10.1
515,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,199,発達障がい児（者）相談支援事業,,1,報酬,18385,10,10.1
516,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,199,発達障がい児（者）相談支援事業,,7,報償費,183,10,10.1
517,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,199,発達障がい児（者）相談支援事業,,8,旅費,711,10,10.1
518,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,199,発達障がい児（者）相談支援事業,,10,需用費,549,10,10.1
519,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,199,発達障がい児（者）相談支援事業,,11,役務費,419,10,10.1
520,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,199,発達障がい児（者）相談支援事業,,13,使用料及び賃借料,306,10,10.1
521,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,200,聴覚障がい者用電話ファクシミリ使用料等助成事業,,11,役務費,60,10,10.1
522,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,200,聴覚障がい者用電話ファクシミリ使用料等助成事業,,19,扶助費,1212,10,10.1
523,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,203,障がい者チャレンジ雇用・就労支援事業,,1,報酬,0,10,10.1
524,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,203,障がい者チャレンジ雇用・就労支援事業,,12,委託料,34243,10,10.1
525,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,203,障がい者チャレンジ雇用・就労支援事業,,19,扶助費,0,10,10.1
526,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,205,特別障がい者手当等支給事業,,10,需用費,9,10,10.1
527,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,205,特別障がい者手当等支給事業,,12,委託料,450,10,10.1
528,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,205,特別障がい者手当等支給事業,,19,扶助費,97631,10,10.1
529,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,206,児童発達支援通所事業,,12,委託料,70008,10,10.4
530,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,210,身体・知的障がい者相談員事業運営費,,7,報償費,229,10,10.1
531,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,210,身体・知的障がい者相談員事業運営費,,10,需用費,6,10,10.1
532,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,211,障がい者福祉農園事業,,10,需用費,0,10,10.1
533,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,211,障がい者福祉農園事業,,12,委託料,812,10,10.1
534,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,211,障がい者福祉農園事業,,13,使用料及び賃借料,157,10,10.1
535,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,214,精神障がい者グループホーム活用型ショートステイ事業,,12,委託料,4596,10,10.1
536,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,218,障がい者おむつ支給等事業,,19,扶助費,5548,10,10.1
537,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,221,心身障がい者（児）一時保護事業,,12,委託料,25183,10,10.1
538,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,221,心身障がい者（児）一時保護事業,,19,扶助費,300,10,10.1
539,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,235,障がい者自立支援推進事業,,1,報酬,13765,10,10.1
540,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,235,障がい者自立支援推進事業,,7,報償費,683,10,10.1
541,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,235,障がい者自立支援推進事業,,8,旅費,1229,10,10.1
542,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,235,障がい者自立支援推進事業,,10,需用費,833,10,10.1
543,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,235,障がい者自立支援推進事業,,11,役務費,1751,10,10.1
544,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,235,障がい者自立支援推進事業,,12,委託料,8010,10,10.1
545,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,235,障がい者自立支援推進事業,,13,使用料及び賃借料,817,10,10.1
546,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,235,障がい者自立支援推進事業,,18,負担金・補助及び交付金,171205,10,10.1
547,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,235,障がい者自立支援推進事業,,19,扶助費,3822402,10,10.1
548,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,247,地域生活支援事業,,7,報償費,923,10,10.1
549,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,247,地域生活支援事業,,10,需用費,130,10,10.1
550,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,247,地域生活支援事業,,11,役務費,259,10,10.1
551,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,247,地域生活支援事業,,12,委託料,159190,10,10.1
552,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,247,地域生活支援事業,,17,備品購入費,44,10,10.1
553,R3,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費,247,地域生活支援事業,,19,扶助費,120069,10,10.1
554,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,257,老人保護措置費,,7,報償費,43,10,10.2
555,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,257,老人保護措置費,,10,需用費,7,10,10.2
556,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,257,老人保護措置費,,11,役務費,19,10,10.2
557,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,257,老人保護措置費,,19,扶助費,7146,10,10.2
558,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,258,高齢者慶祝事業,,10,需用費,54,10,10.2
559,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,258,高齢者慶祝事業,,11,役務費,208,10,10.2
560,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,258,高齢者慶祝事業,,12,委託料,1131,10,10.2
561,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,259,介護保険通所介護事業,,7,報償費,0,10,10.9
562,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,259,介護保険通所介護事業,,10,需用費,300,10,10.2
563,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,259,介護保険通所介護事業,,11,役務費,3,10,10.2
564,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,259,介護保険通所介護事業,,12,委託料,0,10,10.2
565,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,261,シルバー人材センター助成事業,,11,役務費,7,10,10.2
566,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,261,シルバー人材センター助成事業,,18,負担金・補助及び交付金,34594,10,10.2
567,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,262,高齢者保健福祉計画（介護保険事業計画）改定事業,,7,報償費,0,10,10.2
568,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,262,高齢者保健福祉計画（介護保険事業計画）改定事業,,12,委託料,0,10,10.2
569,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,262,高齢者保健福祉計画（介護保険事業計画）改定事業,,13,使用料及び賃借料,0,10,10.2
570,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,266,老人福祉センター事業費,,12,委託料,74217,10,10.7
571,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,267,高齢者緊急一時保護事業,,12,委託料,316,10,10.7
572,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,270,老人クラブ助成事業,,13,使用料及び賃借料,127,10,10.7
573,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,270,老人クラブ助成事業,,18,負担金・補助及び交付金,10242,10,10.7
574,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,272,高齢者集合住宅管理運営事業,,10,需用費,1204,10,10.7
575,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,272,高齢者集合住宅管理運営事業,,11,役務費,670,10,10.7
576,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,272,高齢者集合住宅管理運営事業,,12,委託料,21810,10,10.7
577,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,274,緊急通報システム事業,,19,扶助費,1733,10,10.7
578,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,278,介護保険推進事業,,18,負担金・補助及び交付金,2540,10,10.9
579,R3,一般会計,3,民生費,1,社会福祉費,3,老人福祉費,278,介護保険推進事業,,19,扶助費,60,10,10.9
